"","CaseNo","V1","V2","V3","V4","V5","V6","cluster_number","cluster_name"
"1",1,6,4,7,3,2,3,3,"Fun-Loving"
"2",2,2,3,1,4,5,4,2,"Apathetic"
"3",3,7,2,6,4,1,3,3,"Fun-Loving"
"4",4,4,6,4,5,3,6,1,"Price Conscious"
"5",5,1,3,2,2,6,4,2,"Apathetic"
"6",6,6,4,6,3,3,4,3,"Fun-Loving"
"7",7,5,3,6,3,3,4,3,"Fun-Loving"
"8",8,7,3,7,4,1,4,3,"Fun-Loving"
"9",9,2,4,3,3,6,3,2,"Apathetic"
"10",10,3,5,3,6,4,6,1,"Price Conscious"
"11",11,1,3,2,3,5,3,2,"Apathetic"
"12",12,5,4,5,4,2,4,3,"Fun-Loving"
"13",13,2,2,1,5,4,4,2,"Apathetic"
"14",14,4,6,4,6,4,7,1,"Price Conscious"
"15",15,6,5,4,2,1,4,3,"Fun-Loving"
"16",16,3,5,4,6,4,7,1,"Price Conscious"
"17",17,4,4,7,2,2,5,3,"Fun-Loving"
"18",18,3,7,2,6,4,3,1,"Price Conscious"
"19",19,4,6,3,7,2,7,1,"Price Conscious"
"20",20,2,3,2,4,7,2,2,"Apathetic"
