Category,Page total likes,Type,Post Month,Post Hour,Post Weekday,Paid,Lifetime Post Consumers,comment,like,share
2,139441,Photo,12,3,4,0,109,4,79,17
2,139441,Status,12,10,3,0,1361,5,130,29
3,139441,Photo,12,3,3,0,113,0,66,14
2,139441,Photo,12,10,2,1,790,58,1572,147
2,139441,Photo,12,3,2,0,410,19,325,49
2,139441,Status,12,9,1,0,1073,1,152,33
3,139441,Photo,12,3,1,1,265,3,249,27
3,139441,Photo,12,9,7,1,232,0,325,14
2,139441,Status,12,3,7,0,1407,0,161,31
3,139441,Photo,12,10,6,0,183,3,113,26
2,139441,Status,12,10,5,0,4100,0,233,19
2,139441,Photo,12,10,5,0,127,0,88,18
2,139441,Photo,12,10,5,0,115,0,90,14
2,139441,Photo,12,3,5,0,134,5,137,10
2,138414,Photo,12,5,4,1,337,2,577,20
2,138414,Status,12,10,3,0,1209,4,86,18
3,138414,Photo,12,3,3,0,123,2,40,12
1,138414,Photo,12,12,2,1,1103,15,678,20
3,138414,Status,12,3,2,0,86,4,54,17
3,138414,Photo,12,11,1,0,88,0,34,8
2,138414,Photo,12,3,1,0,142,3,66,12
1,138414,Photo,12,10,7,0,15,0,0,0
1,138414,Link,12,10,7,0,104,0,16,2
3,138414,Photo,12,3,7,0,118,0,72,24
2,138414,Status,12,10,6,0,1270,3,99,19
2,138458,Status,12,3,6,0,1462,0,88,18
2,138458,Status,12,11,5,0,2531,10,412,72
3,138458,Photo,12,3,5,0,124,0,100,17
2,138895,Photo,12,3,5,0,559,36,523,63
1,138895,Video,12,11,4,1,1068,18,143,13
2,138895,Photo,12,2,4,0,306,33,107,22
2,138895,Photo,12,10,3,0,171,1,27,11
3,138895,Photo,12,3,3,0,237,2,155,47
3,138895,Photo,12,9,2,0,185,4,98,23
1,138895,Photo,12,3,2,0,260,2,56,17
2,138895,Photo,12,11,1,0,284,6,172,21
3,138895,Photo,12,3,1,0,168,0,96,17
1,138895,Photo,12,10,7,1,424,16,76,8
2,138895,Status,12,9,7,0,5202,11,227,31
1,138895,Photo,12,3,7,0,284,1,44,14
2,138895,Status,12,11,6,0,1912,7,216,39
1,138895,Link,12,3,6,1,366,6,187,18
1,138353,Photo,12,10,5,0,2079,7,26,3
1,138353,Link,12,3,5,1,109,7,29,10
1,138353,Photo,12,11,4,0,316,0,47,11
1,138353,Link,12,3,4,1,158,4,57,10
1,138353,Status,12,11,3,0,3464,4,174,36
1,138353,Link,12,2,3,0,83,6,18,8
1,138353,Photo,12,11,2,0,283,0,77,15
1,138353,Link,12,2,2,0,76,1,12,1
2,138353,Photo,11,9,1,0,65,1,48,9
1,138329,Photo,11,3,1,1,467,24,285,28
1,138329,Photo,11,9,7,0,181,9,202,31
1,138329,Photo,11,3,7,0,182,4,64,19
1,138329,Photo,11,10,6,0,213,4,66,13
1,138329,Video,11,2,6,1,411,2,65,14
1,138329,Photo,11,11,5,0,204,2,164,54
1,138329,Photo,11,3,5,0,131,0,40,13
1,138329,Photo,11,10,4,0,173,3,76,11
1,138329,Photo,11,3,4,1,304,4,139,17
1,138185,Photo,11,11,3,1,335,8,101,14
1,138185,Photo,11,2,3,1,513,8,144,10
1,138185,Photo,11,10,2,1,654,10,179,13
1,138185,Photo,11,3,2,1,335,4,219,22
1,138185,Photo,11,10,1,0,182,2,60,7
1,138185,Photo,11,3,1,0,298,19,77,23
1,138185,Photo,11,11,7,0,156,0,48,7
1,138185,Photo,11,3,7,1,995,20,697,70
1,138185,Photo,11,11,6,0,168,0,53,17
1,137893,Photo,11,3,6,0,288,7,84,28
1,137893,Photo,11,10,5,1,460,7,146,9
1,137893,Video,11,3,5,1,1735,17,449,84
3,137893,Status,11,11,4,0,847,3,226,44
1,137893,Photo,11,2,4,1,418,14,172,47
1,137893,Video,11,11,3,0,458,2,99,13
1,137893,Photo,11,2,3,1,808,20,411,74
1,137893,Photo,11,2,3,0,17,0,0,0
1,137177,Photo,11,10,1,0,374,4,85,8
2,137177,Photo,11,3,1,0,167,0,56,8
1,137177,Photo,11,12,7,0,640,2,29,7
2,137177,Status,11,3,7,0,2235,2,86,13
3,137177,Photo,11,10,6,0,361,18,370,53
1,137177,Photo,11,3,6,0,306,5,190,57
3,137177,Photo,11,10,5,1,243,2,101,19
3,137177,Status,11,2,5,0,108,2,99,16
1,137177,Photo,11,9,4,1,280,10,140,8
1,137177,Link,11,3,4,0,228,2,130,31
3,137177,Photo,11,10,3,0,319,3,270,38
1,137177,Photo,11,3,3,0,189,3,30,6
1,137059,Photo,11,11,2,1,283,2,107,17
1,137059,Photo,11,3,2,0,564,13,331,77
2,137059,Photo,11,9,1,0,220,0,78,13
3,137059,Photo,11,3,1,0,352,9,301,32
3,137059,Photo,11,9,7,0,216,2,111,16
2,137059,Photo,11,4,7,0,213,2,124,22
3,137059,Photo,10,10,6,0,257,5,153,27
