CID,workexp,age,gender,Source,Educ,previous,location,Joined
C2015UUGM44,3,32,F,3-SocialMedia,e2,Yes,L4,Not Joined
C20152LRE59,3,37,M,1-Consultancy,e1,Yes,L5,Joined
C20156UMBMO,4,36,F,3-SocialMedia,e2,Yes,L1,Not Joined
C2015LZSL81,3,44,M,1-Consultancy,e1,Yes,L3,Joined
C2015JFDHT1,4,43,M,2-Referral,e1,Yes,L1,Joined
C201530FJC9,4,35,M,3-SocialMedia,e1,Yes,L5,Joined
C2015N0KZGJ,4,41,F,3-SocialMedia,e2,No,L7,Joined
C2015VP2MMO,4,44,M,2-Referral,e1,No,L3,Joined
C20158S4JFI,4,35,F,3-SocialMedia,e1,No,L1,Joined
C2015TKXZF1,3,36,M,2-Referral,e1,No,L5,Joined
C2015KXUF12,3,39,F,1-Consultancy,e1,No,L7,Joined
C2015S18TUB,4,38,M,2-Referral,e2,Yes,L5,Not Joined
C20150FJEHT,4,31,F,2-Referral,e1,No,L1,Not Joined
C20159EGT1A,4,40,M,2-Referral,e1,Yes,L5,Joined
C2015MH98M0,4,38,F,1-Consultancy,e2,No,L2,Not Joined
C2015SWVOJS,3,43,M,3-SocialMedia,e1,Yes,L3,Joined
C2015UVVQ16,4,35,F,1-Consultancy,e1,No,L5,Not Joined
C2015N1YB4I,3,41,F,2-Referral,e2,Yes,L5,Joined
C20157BB3IP,4,37,F,2-Referral,e2,Yes,L3,Not Joined
C2015VCWVR5,4,35,M,2-Referral,e1,Yes,L3,Joined
C2015VV7VE7,4,37,F,3-SocialMedia,e2,Yes,L4,Not Joined
C2015AT3I73,3,39,F,1-Consultancy,e1,No,L5,Joined
C2015RKHL7T,4,36,F,3-SocialMedia,e1,Yes,L1,Not Joined
C2015JDVI82,3,37,F,2-Referral,e2,No,L3,Joined
C2015S3CX50,3,35,F,2-Referral,e1,No,L2,Not Joined
C20153A6C62,3,44,M,1-Consultancy,e2,Yes,L5,Joined
C20157VQW8T,3,38,F,1-Consultancy,e2,No,L5,Not Joined
C2015GE59BW,3,35,M,3-SocialMedia,e2,Yes,L3,Joined
C2015WKBHUF,3,41,F,2-Referral,e1,Yes,L1,Joined
C20155N88R8,4,44,M,3-SocialMedia,e1,Yes,L5,Joined
C2015XZ299L,4,35,F,2-Referral,e1,Yes,L7,Joined
C2015KW3RN3,3,36,M,3-SocialMedia,e1,Yes,L3,Joined
C2015MHLBAI,4,36,F,3-SocialMedia,e2,Yes,L1,Not Joined
C2015FEX4S6,4,37,M,3-SocialMedia,e2,No,L3,Not Joined
C2015YW6YQR,3,37,F,3-SocialMedia,e2,Yes,L7,Joined
C2015UQTRZE,3,40,M,2-Referral,e2,No,L3,Joined
C20154GDFA4,3,44,F,1-Consultancy,e2,Yes,L1,Joined
C20155QGP2V,4,43,M,2-Referral,e2,Yes,L5,Joined
C2015J0D9YF,4,35,M,2-Referral,e1,No,L7,Joined
C2015XY9TOH,3,41,M,1-Consultancy,e1,Yes,L3,Joined
C20158GNORP,3,37,F,3-SocialMedia,e2,No,L4,Not Joined
C2015Z9YFCK,4,35,F,2-Referral,e1,No,L5,Joined
C2015VTMOE0,4,31,F,3-SocialMedia,e2,Yes,L1,Not Joined
C20159FG02D,4,39,M,2-Referral,e2,Yes,L3,Joined
C2015FV5E3N,4,37,F,2-Referral,e1,No,L1,Joined
C2015DY87EK,4,32,M,1-Consultancy,e1,Yes,L4,Not Joined
C20157LBZ6C,4,35,F,1-Consultancy,e1,Yes,L5,Not Joined
C2015EKGSL2,5,36,M,2-Referral,e1,No,L1,Not Joined
C2015KMAS95,4,37,F,3-SocialMedia,e2,No,L3,Not Joined
C2015K7X8X7,4,35,M,3-SocialMedia,e2,No,L5,Joined
C201579FGTS,4,37,F,3-SocialMedia,e1,No,L4,Not Joined
C20153UYKPC,4,26,M,1-Consultancy,e1,Yes,L5,Not Joined
C2015XC4480,4,36,F,1-Consultancy,e1,Yes,L1,Not Joined
C2015E46C55,4,36,M,2-Referral,e1,Yes,L5,Joined
C20159JT7DL,3,35,F,2-Referral,e2,Yes,L2,Not Joined
C2015VSSIV1,3,37,M,3-SocialMedia,e2,No,L3,Joined
C2015YDPTO6,3,38,F,2-Referral,e2,No,L5,Not Joined
C2015BFTT25,4,40,F,2-Referral,e1,No,L5,Joined
C2015NMSQ82,3,37,F,2-Referral,e1,No,L3,Not Joined
C201569FV45,4,43,F,2-Referral,e2,No,L3,Joined
C20156WB3CZ,4,32,F,3-SocialMedia,e1,Yes,L4,Not Joined
C2015W2M0EG,3,41,M,2-Referral,e1,No,L5,Joined
C2015SEHYBL,5,36,F,1-Consultancy,e2,No,L1,Not Joined
C2015WAJ3DI,4,35,M,3-SocialMedia,e2,No,L3,Joined
C2015MFLOYL,3,36,M,2-Referral,e1,Yes,L1,Joined
C2015CPRXYO,4,37,M,3-SocialMedia,e2,Yes,L4,Not Joined
C2015O4PXZ8,4,37,F,1-Consultancy,e1,No,L7,Joined
C2015B8H6EG,4,37,M,2-Referral,e1,No,L3,Joined
C2015LZ2BMR,4,40,F,1-Consultancy,e1,No,L1,Joined
C2015UF9F1H,5,44,M,1-Consultancy,e1,Yes,L5,Joined
C2015QR0UA5,4,37,F,1-Consultancy,e2,Yes,L4,Not Joined
C2015W53633,4,38,M,3-SocialMedia,e1,No,L5,Not Joined
C2015EOPD4E,4,31,F,1-Consultancy,e1,No,L1,Not Joined
C20152E0AZE,3,44,F,2-Referral,e2,Yes,L5,Joined
C2015Q5YIFQ,5,38,F,2-Referral,e2,No,L2,Not Joined
C2015E53W0T,4,36,M,1-Consultancy,e2,Yes,L3,Joined
C2015ZCXH9L,3,39,M,3-SocialMedia,e2,No,L1,Joined
C2015AKT71Y,4,36,M,1-Consultancy,e2,Yes,L1,Not Joined
C20152EDC27,4,37,F,2-Referral,e1,Yes,L7,Joined
C2015M24QLJ,4,40,M,1-Consultancy,e1,No,L3,Joined
C2015XRRFR7,3,44,F,3-SocialMedia,e1,No,L1,Joined
